director_name,Alma mater,Notes,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Peter Jackson,"Kapiti College, NZ",,509,186,0,773,Adam Brown,5000,258355354,"['Adventure', 'Fantasy']",Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James Nesbitt,6,dwarf|elf|lake town|mountain|sword and sorcery,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English,USA,PG-13,225000000,2013,972,7.9,2.35,83000
Anthony Russo,NaN,,516,147,94,11000,Scarlett Johansson,21000,407197282,"['Action', 'Adventure', 'Sci-Fi']",Robert Downey Jr.,Captain America: Civil War ,272670,64798,Chris Evans,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,PG-13,250000000,2016,19000,8.2,2.35,72000
Peter Berg,Macalester College,,377,131,532,627,Alexander Skarsgård,14000,65173160,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Liam Neeson,Battleship ,202382,26679,Tadanobu Asano,0,box office flop|hawaii|naval|oahu hawaii|ship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,USA,PG-13,209000000,2012,10000,5.9,2.35,44000
Colin Trevorrow,New York University,,644,124,365,1000,Judy Greer,3000,652177271,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English,USA,PG-13,150000000,2015,2000,7,2,150000
Shane Black,"University of California, Los Angeles",,608,195,1000,3000,Jon Favreau,21000,408992272,"['Action', 'Adventure', 'Sci-Fi']",Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3,armor|explosion|human bomb|missile attack|terrorist,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,PG-13,200000000,2013,4000,7.2,2.35,95000
Dan Scanlon,Columbus College of Art & Design,,376,104,37,760,Tyler Labine,12000,268488329,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0,cheating|fraternity|monster|singing in a car|university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,USA,G,200000000,2013,779,7.3,1.85,44000
Michael Bay,Wesleyan University,,378,165,0,808,Sophia Myles,974,245428137,"['Action', 'Adventure', 'Sci-Fi']",Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English,USA,PG-13,210000000,2014,956,5.7,2.35,56000
Sam Raimi,Michigan State University,,525,130,0,11000,Mila Kunis,44000,234903076,"['Adventure', 'Family', 'Fantasy']",Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,PG,215000000,2013,15000,6.4,2.35,60000
Marc Webb,University of Wisconsin-Madison,,495,142,464,825,Andrew Garfield,15000,202853933,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English,USA,PG-13,200000000,2014,10000,6.7,2.35,41000
John Lasseter,California Institute of the Arts,,304,106,487,776,Thomas Kretschmann,1000,191450875,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0,best friend|car race|conspiracy|gadget car|spy,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,USA,G,200000000,2011,919,6.3,2.35,10000
Martin Campbell,"Lindisfarne College, NZ",,436,123,258,326,Temuera Morrison,16000,116593191,"['Action', 'Adventure', 'Sci-Fi']",Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2,autopsy|lantern|planet|ring|test pilot,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,PG-13,200000000,2011,368,5.6,2.35,24000
James Wan,"RMIT University, AU",,424,140,0,14000,Paul Walker,26000,350034110,"['Action', 'Crime', 'Thriller']",Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0,car falling off a cliff|hospital|revenge|star died before release|terrorist,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,USA,PG-13,190000000,2015,23000,7.2,2.35,94000
Marc Forster,New York University,,654,123,395,1000,Brad Pitt,17000,202351611,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0,chaos|disease|infection|pandemic|zombie,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,PG-13,190000000,2013,11000,7,2.35,129000
Bryan Singer,University of Southern California,,539,149,0,20000,Peter Dinklage,34000,233914986,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7,dystopia|super strength|supernatural power|time paradox|time travel,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,USA,PG-13,200000000,2014,22000,8,2.35,82000
J.J. Abrams,Sarah Lawrence College,,590,132,14000,928,Bruce Greenwood,19000,228756232,"['Action', 'Adventure', 'Sci-Fi']",Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,190000000,2013,981,7.8,2.35,92000
Bryan Singer,University of Southern California,,338,114,0,140,Ewen Bremner,979,65171860,"['Adventure', 'Fantasy']",Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1,bean|giant|king|no opening credits|princess,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,USA,PG-13,195000000,2013,557,6.3,2.35,22000
Guillermo del Toro,"University of Guadalajara, MX",,575,131,0,919,Clifton Collins Jr.,16000,101785482,"['Action', 'Adventure', 'Sci-Fi']",Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0,giant monster|kaiju|pilot|portal|robot,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,USA,PG-13,190000000,2013,968,7,1.85,83000
Michael Bay,Wesleyan University,,428,154,0,581,Lester Speight,894,352358779,"['Action', 'Adventure', 'Sci-Fi']",Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2,autobot|decepticon|job interview|moon|spacecraft,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,USA,PG-13,195000000,2011,829,6.3,2.35,46000
Mark Andrews,California Institute of the Arts,,488,93,56,838,John Ratzenberger,2000,237282182,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Kelly Macdonald,Brave ,273556,5005,Julie Walters,0,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,PG,185000000,2012,1000,7.2,2.35,39000
Justin Lin,"University of California, Los Angeles",,322,122,681,105,Melissa Roxburgh,998,130468626,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000
Lana Wachowski,Bard College,,384,127,0,13000,Mila Kunis,17000,47375327,"['Action', 'Adventure', 'Sci-Fi']",Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,PG-13,176000000,2015,15000,5.4,2.35,44000
David Yates,"University of Essex, EN",,248,110,282,103,Alexander Skarsgård,11000,124051759,"['Action', 'Adventure', 'Drama', 'Romance']",Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Bryan Singer,University of Southern California,,396,144,0,1000,Michael Fassbender,34000,154985087,"['Action', 'Adventure', 'Sci-Fi']",Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6,mutant|superhero|superhero team|x men|year 1983,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000
Martin Scorsese,New York University,,682,126,17000,1000,Christopher Lee,17000,73820094,"['Adventure', 'Drama', 'Family', 'Mystery']",Chloë Grace Moretz,Hugo ,245333,36017,Ray Winstone,0,automaton|mechanical|railway station|steampunk|train,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English,USA,PG,170000000,2011,16000,7.5,1.85,42000
David Ayer,NaN,,418,123,452,329,Robin Atkin Downes,10000,161087183,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000
Doug Liman,Brown University,,585,113,218,509,Lara Pulver,10000,100189501,"['Action', 'Adventure', 'Sci-Fi']",Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1,alien|combat|dying repeatedly|end of the world|time loop,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,USA,PG-13,178000000,2014,854,7.9,2.35,77000
Pete Docter,California Institute of the Arts,,536,95,0,384,Mindy Kaling,1000,356454367,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1,anger|joy|memory|running away|sadness,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,USA,PG,175000000,2015,767,8.3,1.85,118000
Rupert Sanders,NaN,,416,132,274,11000,Kristen Stewart,26000,155111815,"['Action', 'Adventure', 'Drama', 'Fantasy']",Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0,evil queen|fairy tale|magic|queen|snow white,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English,USA,PG-13,170000000,2012,17000,6.1,2.35,53000
Robert Stromberg,California Institute of the Arts,,401,97,171,846,Sharlto Copley,11000,241407328,"['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2,curse|dark fantasy|fairy|king|kingdom,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,USA,PG,180000000,2014,2000,7,2.35,89000
Matt Reeves,University of Southern California,,521,130,198,884,Judy Greer,10000,208543795,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0,ape|dam|leader|post apocalypse|sequel,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,English,USA,PG-13,170000000,2014,2000,7.6,1.85,45000
Carl Rinsch,Columbia University,,218,128,47,982,Cary-Hiroyuki Tagawa,18000,38297305,"['Action', 'Adventure', 'Drama', 'Fantasy']",Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,English,USA,PG-13,175000000,2013,1000,6.3,2.35,35000
Anthony Russo,NaN,,576,136,94,2000,Chris Evans,19000,259746958,"['Action', 'Adventure', 'Sci-Fi']",Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,1,conspiracy|heroism|megalomaniac|super soldier|world domination,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,English,USA,PG-13,170000000,2014,11000,7.8,2.35,55000
Brad Bird,California Institute of the Arts,,443,130,663,604,Chris Bauer,2000,93417865,"['Action', 'Adventure', 'Family', 'Mystery', 'Sci-Fi']",Judy Greer,Tomorrowland ,128306,5046,Thomas Robinson,2,boy genius|futuristic city|inventor|teenage girl|time travel,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,English,USA,PG,190000000,2015,638,6.5,2.2,37000
Don Hall,University of Iowa,,384,102,38,562,Daniel Henney,756,222487711,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",Damon Wayans Jr.,Big Hero 6 ,279093,2963,Abraham Benrubi,0,high tech|martial arts|masked man|robot|superhero,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,English,USA,PG,165000000,2014,719,7.9,2.39,41000
Rich Moore,California Institute of the Arts,,377,101,66,833,Sarah Silverman,975,189412677,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Jack McBrayer,Wreck-It Ralph ,272534,4451,Joe Lo Truglio,1,arcade|candy|glitch|king|medal,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,English,USA,PG,165000000,2012,931,7.8,2.35,40000
Roland Emmerich,"University of Television and Film, MUN",,286,120,776,535,Sela Ward,890,102315545,"['Action', 'Adventure', 'Sci-Fi']",Vivica A. Fox,Independence Day: Resurgence ,58137,3233,Judd Hirsch,0,alien|battle|defense|independence day|mothership,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,English,USA,PG-13,165000000,2016,812,5.5,2.35,67000
James Gunn,Saint Louis University,,653,121,571,3000,Vin Diesel,14000,333130696,"['Action', 'Adventure', 'Sci-Fi']",Bradley Cooper,Guardians of the Galaxy ,682155,32438,Djimon Hounsou,3,bounty hunter|outer space|raccoon|talking animal|tree,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097,English,USA,PG-13,170000000,2014,14000,8.1,2.35,96000
Christopher Nolan,"University College London, UK",,712,169,22000,6000,Anne Hathaway,11000,187991439,"['Adventure', 'Drama', 'Sci-Fi']",Matthew McConaughey,Interstellar ,928227,31488,Mackenzie Foy,1,black hole|father daughter relationship|saving the world|space travel|wormhole,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725,English,USA,PG-13,165000000,2014,11000,8.6,2.35,349000
Matthew Vaughn,University College London,,500,132,905,1000,Michael Fassbender,34000,146405371,"['Action', 'Adventure', 'Sci-Fi']",Jennifer Lawrence,X-Men: First Class ,518537,50983,Oliver Platt,3,cia|cia agent|mutant|nuclear war|professor,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,English,USA,PG-13,160000000,2011,13000,7.8,2.35,54000
Francis Lawrence,Loyola Marymount University,,389,137,508,14000,Philip Seymour Hoffman,34000,281666058,"['Adventure', 'Sci-Fi']",Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,166137,81385,Josh Hutcherson,1,death of sister|dystopia|execution|rebellion|revolution,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,English,USA,PG-13,160000000,2015,22000,6.6,2.35,38000
James Bobin,"Oxford University, UK",,218,113,33,11000,Alan Rickman,40000,76846624,"['Adventure', 'Family', 'Fantasy']",Johnny Depp,Alice Through the Looking Glass ,21352,80806,Anne Hathaway,1,clock|dark fantasy|mad hatter|queen|sequel,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,English,USA,PG,170000000,2016,25000,6.4,1.85,30000
Duncan Jones,College of Wooster ,,275,123,0,648,Callum Rennie,3000,46978995,"['Action', 'Adventure', 'Fantasy']",Dominic Cooper,Warcraft ,111609,5505,Ruth Negga,0,based on video game|fictional language|fictional war|orc|sword and sorcery,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,English,USA,PG-13,160000000,2016,716,7.3,2.35,89000
Alan Taylor,Dartmouth College,,474,126,230,2000,Emilia Clarke,24000,89732035,"['Action', 'Adventure', 'Sci-Fi']",J.K. Simmons,Terminator Genisys ,188457,38873,Matt Smith,2,alternate timeline|cyborg|future|robot|time machine,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,English,USA,PG-13,155000000,2015,10000,6.6,2.35,82000
Chris Buck,California Institute of the Arts,,406,102,69,490,Maurice LaMarche,1000,400736600,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Josh Gad,Frozen ,421658,2582,Livvy Stubenrauch,0,magic|sister love|sister sister relationship|snow|snowman,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,904,English,USA,PG,150000000,2013,523,7.6,2.24,58000
Alan Taylor,Dartmouth College,,486,112,230,12000,Natalie Portman,26000,206360018,"['Action', 'Adventure', 'Fantasy']",Chris Hemsworth,Thor: The Dark World ,414070,59803,Anthony Hopkins,3,arrest|portal|thor|warrior|weapon,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532,English,USA,PG-13,170000000,2013,20000,7.1,2.35,63000
Kenneth Branagh,"Royal Academy of Dramatic Art, UK",,516,115,0,12000,Natalie Portman,26000,181015141,"['Action', 'Adventure', 'Fantasy']",Chris Hemsworth,Thor ,536314,60059,Anthony Hopkins,1,battle|marvel cinematic universe|scientist|thor|throne,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,738,English,USA,PG-13,150000000,2011,20000,7,2.35,63000
Jonathan Liebesman,New York University ,,310,99,473,502,Edgar Ramírez,14000,83640426,"['Action', 'Adventure', 'Fantasy']",Liam Neeson,Wrath of the Titans ,152826,16184,Lily James,0,ares|hades|titan|underworld|zeus,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,253,English,USA,PG-13,150000000,2012,897,5.8,1.85,19000
Tim Burton,California Institute of the Arts,,526,113,13000,16000,Chloë Grace Moretz,40000,79711678,"['Comedy', 'Fantasy', 'Horror']",Johnny Depp,Dark Shadows ,199039,80849,Christopher Lee,7,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479,English,USA,PG-13,100000000,2012,17000,6.2,1.85,82000
David Yates,"University of Essex, EN",,248,110,282,103,Alexander Skarsgård,11000,124051759,"['Action', 'Adventure', 'Drama', 'Romance']",Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Jennifer Yuh Nelson,"California State University, Long Beach",,284,90,90,15,Gary Oldman,11000,165230261,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Angelina Jolie Pitt,Kung Fu Panda 2 ,182718,21015,Mike Bell,0,china|kung fu|panda|peacock|tigress,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,209,English,USA,PG,150000000,2011,10000,7.3,2.35,20000
Roland Emmerich,"University of Television and Film, MUN",,339,131,776,256,Jake Weber,17000,73103784,"['Action', 'Drama', 'Thriller']",Channing Tatum,White House Down ,164238,18204,Matt Craven,2,black u.s. president|president|secret service|tour|white house,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,434,English,USA,PG-13,150000000,2013,551,6.4,2.35,33000
Simon Wells,"De Montfort University, UK",,132,88,25,433,Dan Fogler,921,21379315,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Elisabeth Harnois,Mars Needs Moms ,17590,2652,Tom Everett Scott,0,boy|martian|rescue|robot|sexism,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,112,English,USA,PG,150000000,2011,562,5.4,2.35,0
Joe Wright,"Central St Martins, UK",,256,111,456,394,Cara Delevingne,20000,34964818,"['Adventure', 'Family', 'Fantasy']",Hugh Jackman,Pan ,39956,21393,Nonso Anozie,4,1940s|child hero|fantasy world|orphan|reference to peter pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186,English,USA,PG,150000000,2015,548,5.8,2.35,24000
Rob Minkoff,California Institute of the Arts,,196,92,50,517,Zach Callison,3000,111505642,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Ty Burrell,Mr. Peabody & Sherman ,47900,5810,Karan Brar,2,dog|father son relationship|inventor|talking dog|time travel,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,130,English,USA,PG,145000000,2014,1000,6.9,1.85,11000
Eric Darnell,University of Colorado at Boulder,,211,93,35,436,Martin Short,851,216366733,"['Adventure', 'Animation', 'Comedy', 'Family']",Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,119213,2444,Cedric the Entertainer,0,animal|circus|island name in title|lemur|penguin,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,154,English,USA,PG,145000000,2012,770,6.9,1.85,17000
Paul Feig,Wayne State University ,,464,116,176,322,Kate McKinnon,783,118099659,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",Ed Begley Jr.,Ghostbusters ,69757,2097,Zach Woods,4,ghost|ghostbuster|ghostbusters|male objectification|reboot,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,English,USA,PG-13,144000000,2016,370,5.5,2.35,62000
Alessandro Carloni,"University of Milan, IT",,210,95,5,967,Angelina Jolie Pitt,24000,143523463,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",J.K. Simmons,Kung Fu Panda 3 ,64322,36095,Wayne Knight,0,china|kung fu|panda|pig|village,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,145,English,USA,PG,145000000,2016,11000,7.2,2.35,24000
Brad Bird,California Institute of the Arts,,432,133,663,690,Jeremy Renner,10000,209364921,"['Action', 'Adventure', 'Thriller']",Tom Cruise,Mission: Impossible - Ghost Protocol ,365104,21768,Michael Nyqvist,3,dubai|kremlin|race against time|russian|terrorist,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,512,English,USA,PG-13,145000000,2011,10000,7.4,2.35,35000
Peter Ramsey,NaN,,256,97,52,161,Kamil McFadden,20000,103400692,"['Adventure', 'Animation', 'Family', 'Fantasy']",Hugh Jackman,Rise of the Guardians ,123553,20645,Khamani Griffin,0,belief|box office hit|children|new york city|tooth,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,174,English,USA,PG,145000000,2012,315,7.3,1.85,25000
